Wavelength (nm)	T02 abs chl b e
527.00	4040.8
528.00	4233.1
529.00	4420.9
530.00	4598.2
531.00	4746.2
532.00	4941.1
533.00	5095.7
534.00	5311.3
535.00	5431.1
536.00	5654.3
537.00	5718.1
538.00	5841.2
539.00	5994.7
540.00	6095.5
541.00	6175.8
542.00	6229.9
543.00	6319.7
544.00	6374.6
545.00	6433.7
546.00	6462.8
547.00	6474.2
548.00	6490.7
549.00	6509.9
550.00	6511.5
551.00	6515.5
552.00	6505.0
553.00	6522.0
554.00	6583.9
555.00	6616.0
556.00	6681.3
557.00	6721.4
558.00	6799.4
559.00	6915.1
560.00	7001.2
561.00	7091.4
562.00	7147.2
563.00	7200.3
564.00	7247.9
565.00	7299.5
566.00	7324.8
567.00	7327.3
568.00	7334.5
569.00	7312.4
570.00	7293.3
571.00	7278.1
572.00	7262.8
573.00	7267.9
574.00	7232.9
575.00	7287.5
576.00	7289.2
577.00	7354.3
578.00	7456.5
579.00	7668.9
580.00	7843.6
581.00	8111.4
582.00	8334.9
583.00	8687.8
584.00	9001.7
585.00	9274.2
586.00	9619.2
587.00	9891.9
588.00	10142
589.00	10397
590.00	10574
591.00	10753
592.00	10882
593.00	10901
594.00	10953
595.00	10911
596.00	10848
597.00	10681
598.00	10456
599.00	10146
600.00	9899.7
601.00	9593.3
602.00	9283.3
603.00	8975.5
604.00	8745.4
605.00	8548.2
606.00	8391.1
607.00	8357.2
608.00	8297.6
609.00	8275.5
610.00	8272.1
611.00	8274.0
612.00	8241.6
613.00	8182.9
614.00	8099.7
615.00	7999.8
616.00	7929.4
617.00	7844.7
618.00	7746.0
619.00	7762.1
620.00	7819.5
621.00	7996.4
622.00	8232.4
623.00	8623.8
624.00	9164.3
625.00	9884.5
626.00	10774
627.00	11899
628.00	13256
629.00	14874
630.00	16749
631.00	18986
632.00	21694
633.00	24746
634.00	28428
635.00	32537
636.00	36974
637.00	41570
638.00	46097
639.00	50170
640.00	53645
641.00	56194
642.00	57547
643.00	57605
644.00	56357
645.00	53679
646.00	50021
647.00	45539
648.00	40639
649.00	35486
650.00	30429
651.00	25635
652.00	21356
653.00	17629
654.00	14521
655.00	11463
656.00	9101.9
657.00	8507.6
658.00	6941.4
659.00	5684.5
660.00	4894.0
661.00	4178.7
662.00	3658.5
663.00	3242.6
664.00	2835.1
665.00	2502.4
666.00	2211.2
667.00	2022.8
668.00	1840.6
669.00	1672.4
670.00	1524.2
671.00	1434.2
672.00	1325.8
673.00	1266.2
674.00	1198.7
675.00	1138.1
676.00	1113.8
677.00	1052.3
678.00	1017.7
679.00	953.02
680.00	893.04
681.00	834.47
682.00	776.93
683.00	728.21
684.00	660.59
685.00	612.89
686.00	564.30
687.00	517.99
688.00	475.01
689.00	459.90
690.00	429.08
691.00	386.06
692.00	381.85
693.00	351.16
694.00	340.03
695.00	319.55
696.00	320.75
697.00	317.00
698.00	306.01
699.00	285.12
700.00	288.56
701.00	291.12
702.00	292.95
703.00	282.95
704.00	278.05
705.00	268.03
706.00	285.51
707.00	290.81
708.00	286.04
709.00	289.38
710.00	292.17
711.00	303.43
712.00	315.20
713.00	330.48
714.00	324.41
715.00	311.44
716.00	295.29
717.00	294.12
718.00	304.06
719.00	285.23
720.00	278.03
721.00	275.93
722.00	261.48
723.00	259.71
724.00	263.23
725.00	263.04
726.00	243.60
727.00	231.91
728.00	248.62
729.00	229.86
730.00	216.56
731.00	215.42
732.00	207.74
733.00	208.16
734.00	213.17
735.00	177.23
736.00	174.28
737.00	167.08
738.00	154.05
739.00	157.24
740.00	153.36
741.00	163.94
742.00	165.69
743.00	170.26
744.00	175.87
745.00	179.36
746.00	192.72
747.00	208.71
748.00	181.30
749.00	188.45
750.00	211.48
751.00	194.27
752.00	189.75
753.00	182.93
754.00	171.70
755.00	169.98
756.00	179.37
757.00	164.57
758.00	162.65
759.00	155.61
760.00	151.20
761.00	147.31
762.00	134.42
763.00	153.45
764.00	141.60
765.00	143.50
766.00	143.10
767.00	132.28
768.00	163.10
769.00	156.50
770.00	137.01
771.00	150.34
772.00	139.13
773.00	142.03
774.00	131.86
775.00	143.21
776.00	140.44
777.00	119.84
778.00	121.64
779.00	125.20
780.00	116.58
781.00	125.24
782.00	128.60
783.00	121.89
784.00	108.65
785.00	123.81
786.00	130.85
787.00	134.00
788.00	129.55
789.00	133.39
790.00	129.28
791.00	130.11
792.00	128.99
793.00	140.74
794.00	153.54
795.00	125.23
796.00	129.90
797.00	132.81
798.00	129.71
799.00	119.54
800.00	130.19
